,driverId,count(*)
0,1,208
1,2,184
2,3,206
3,4,293
4,5,112
5,6,36
6,7,27
7,8,273
8,9,76
9,10,95
10,11,91
11,12,28
12,13,271
13,14,247
14,15,256
15,16,128
16,17,217
17,18,309
18,19,24
19,20,199
20,21,231
21,22,326
22,23,180
23,24,81
24,25,69
25,26,28
26,27,46
27,29,21
28,30,308
29,31,95
30,32,51
31,33,37
32,34,4
33,35,165
34,36,7
35,37,107
36,38,11
37,39,48
38,40,11
39,41,38
40,42,20
41,43,28
42,44,158
43,45,14
44,46,18
45,47,20
46,48,36
47,49,159
48,50,107
49,51,16
50,52,14
51,53,5
52,54,15
53,55,202
54,56,147
55,57,165
56,58,26
57,59,29
58,60,21
59,61,3
60,62,16
61,63,111
62,64,99
63,65,165
64,66,17
65,67,55
66,68,32
67,69,58
68,70,44
69,71,122
70,73,30
71,74,16
72,75,33
73,76,25
74,77,210
75,78,75
76,79,97
77,81,70
78,82,4
79,83,32
80,84,165
81,85,28
82,86,10
83,87,63
84,88,88
85,89,18
86,90,74
87,91,42
88,92,84
89,93,7
90,94,123
91,95,192
92,96,11
93,97,7
94,98,3
95,99,78
96,100,63
97,101,30
98,102,162
99,103,47
100,104,43
101,105,215
102,106,10
103,107,3
104,108,27
105,109,70
106,110,214
107,111,9
108,112,115
109,113,2
110,114,50
111,115,3
112,116,2
113,117,202
114,118,162
115,119,257
116,120,20
117,121,13
118,122,98
119,123,164
120,125,6
121,126,2
122,127,80
123,128,29
124,129,62
125,130,10
126,131,81
127,132,3
128,133,75
129,134,6
130,135,7
131,136,41
132,137,207
133,138,80
134,139,40
135,140,103
136,141,20
137,142,13
138,143,4
139,144,2
140,145,77
141,146,32
142,147,15
143,148,22
144,149,14
145,150,2
146,151,15
147,152,82
148,153,46
149,154,124
150,155,76
151,156,88
152,157,47
153,158,143
154,159,32
155,160,111
156,161,10
157,162,17
158,163,164
159,164,7
160,165,21
161,166,54
162,167,21
163,168,2
164,169,12
165,170,70
166,171,2
167,172,180
168,173,110
169,174,16
170,175,122
171,176,88
172,177,128
173,178,117
174,179,28
175,180,9
176,181,55
177,182,174
178,183,20
179,184,41
180,185,22
181,186,9
182,187,154
183,188,23
184,189,8
185,190,19
186,191,5
187,192,32
188,193,15
189,194,37
190,195,29
191,196,30
192,197,143
193,198,3
194,199,146
195,200,114
196,201,15
197,202,72
198,203,68
199,204,8
200,205,37
201,206,64
202,207,129
203,208,14
204,209,12
205,210,5
206,211,37
207,212,58
208,213,17
209,214,2
210,215,4
211,216,13
212,217,11
213,219,55
214,220,2
215,221,95
216,222,113
217,223,138
218,224,149
219,225,7
220,227,2
221,229,29
222,230,78
223,231,93
224,232,84
225,233,81
226,234,3
227,235,121
228,236,5
229,237,20
230,238,123
231,239,42
232,240,6
233,241,5
234,242,3
235,243,61
236,244,3
237,245,6
238,246,15
239,247,5
240,249,2
241,250,73
242,251,20
243,252,42
244,253,6
245,254,7
246,255,32
247,256,15
248,257,7
249,258,13
250,259,11
251,260,5
252,262,51
253,263,2
254,265,16
255,267,12
256,269,4
257,270,11
258,271,6
259,273,2
260,274,2
261,275,17
262,276,12
263,277,8
264,278,106
265,280,59
266,282,2
267,283,8
268,284,4
269,285,3
270,288,15
271,289,179
272,290,38
273,292,3
274,293,13
275,294,10
276,295,6
277,296,15
278,297,2
279,298,9
280,299,2
281,300,2
282,302,2
283,304,112
284,305,51
285,306,87
286,307,39
287,308,4
288,309,31
289,310,2
290,311,4
291,312,13
292,313,13
293,314,36
294,315,2
295,316,6
296,317,23
297,319,3
298,320,30
299,321,14
300,322,7
301,324,3
302,326,2
303,327,47
304,328,100
305,329,29
306,330,17
307,332,12
308,333,35
309,334,4
310,335,2
311,337,9
312,338,11
313,339,9
314,340,10
315,341,112
316,342,6
317,343,3
318,344,2
319,345,54
320,346,100
321,347,109
322,350,13
323,351,18
324,352,13
325,353,11
326,354,2
327,356,129
328,357,15
329,358,62
330,359,12
331,360,103
