,name,COUNT(name)
0,Abu Dhabi Grand Prix,3
1,Australian Grand Prix,3
2,Bahrain Grand Prix,2
3,Belgian Grand Prix,3
4,Brazilian Grand Prix,3
5,British Grand Prix,3
6,Canadian Grand Prix,2
7,Chinese Grand Prix,3
8,European Grand Prix,3
9,German Grand Prix,3
10,Hungarian Grand Prix,3
11,Indian Grand Prix,1
12,Italian Grand Prix,3
13,Japanese Grand Prix,3
14,Korean Grand Prix,2
15,Malaysian Grand Prix,3
16,Monaco Grand Prix,3
17,Singapore Grand Prix,3
18,Spanish Grand Prix,3
19,Turkish Grand Prix,3
