,name,COUNT(name)
0,Turkish Grand Prix,3
1,Spanish Grand Prix,3
2,Singapore Grand Prix,3
3,Monaco Grand Prix,3
4,Malaysian Grand Prix,3
5,Korean Grand Prix,2
6,Japanese Grand Prix,3
7,Italian Grand Prix,3
8,Indian Grand Prix,1
9,Hungarian Grand Prix,3
10,German Grand Prix,3
11,European Grand Prix,3
12,Chinese Grand Prix,3
13,Canadian Grand Prix,2
14,British Grand Prix,3
15,Brazilian Grand Prix,3
16,Belgian Grand Prix,3
17,Bahrain Grand Prix,2
18,Australian Grand Prix,3
19,Abu Dhabi Grand Prix,3
