,name,COUNT(name)
0,Indian Grand Prix,1
1,Bahrain Grand Prix,2
2,Canadian Grand Prix,2
3,Korean Grand Prix,2
4,Abu Dhabi Grand Prix,3
5,Australian Grand Prix,3
6,Belgian Grand Prix,3
7,Brazilian Grand Prix,3
8,British Grand Prix,3
9,Chinese Grand Prix,3
10,European Grand Prix,3
11,German Grand Prix,3
12,Hungarian Grand Prix,3
13,Italian Grand Prix,3
14,Japanese Grand Prix,3
15,Malaysian Grand Prix,3
16,Monaco Grand Prix,3
17,Singapore Grand Prix,3
18,Spanish Grand Prix,3
19,Turkish Grand Prix,3
