,name,COUNT(name)
0,Turkish Grand Prix,3
1,Spanish Grand Prix,3
2,Singapore Grand Prix,3
3,Monaco Grand Prix,3
4,Malaysian Grand Prix,3
5,Japanese Grand Prix,3
6,Italian Grand Prix,3
7,Hungarian Grand Prix,3
8,German Grand Prix,3
9,European Grand Prix,3
10,Chinese Grand Prix,3
11,British Grand Prix,3
12,Brazilian Grand Prix,3
13,Belgian Grand Prix,3
14,Australian Grand Prix,3
15,Abu Dhabi Grand Prix,3
16,Korean Grand Prix,2
17,Canadian Grand Prix,2
18,Bahrain Grand Prix,2
19,Indian Grand Prix,1
