,count(*),constructorId
0,780,1
1,70,2
2,708,3
3,347,4
4,226,5
5,909,6
6,138,7
7,52,8
8,244,9
9,190,10
10,92,11
11,17,12
12,18,13
13,4,14
14,367,15
15,112,16
16,241,17
17,337,18
18,81,19
19,82,20
20,297,21
21,259,22
22,17,23
23,46,24
24,426,25
25,120,26
26,332,27
27,32,28
28,95,29
29,33,30
30,32,31
31,405,32
32,126,33
33,315,34
34,79,35
35,24,36
36,194,37
37,84,39
38,16,40
39,32,41
40,70,42
41,48,44
42,172,45
43,32,46
44,16,47
45,32,48
46,79,49
47,47,50
48,113,51
49,39,52
50,72,53
51,116,54
52,62,55
53,123,56
54,138,57
55,106,58
56,64,59
57,31,60
58,11,61
59,3,62
60,121,63
61,71,64
62,14,65
63,231,66
64,46,67
65,13,68
66,8,69
67,17,70
68,4,71
69,2,72
70,31,73
71,14,74
72,12,75
73,11,76
74,12,77
75,12,78
76,11,79
77,30,80
78,19,81
79,56,82
80,6,83
81,4,84
82,12,85
83,26,86
84,17,87
85,14,89
86,5,90
87,6,91
88,20,92
89,10,93
90,19,94
91,56,95
92,3,96
93,15,97
94,3,98
95,17,99
96,4,100
97,19,101
98,3,103
99,10,104
100,30,105
101,9,106
102,1,113
103,14,117
104,20,118
105,5,123
106,1,124
107,11,125
108,10,127
109,156,131
110,56,164
111,38,166
112,82,167
113,1,168
114,5,169
115,89,170
116,9,171
117,66,172
118,6,173
119,8,174
120,10,175
121,58,176
122,8,177
123,1,178
124,4,179
125,54,180
126,28,181
127,47,182
128,55,183
129,21,184
130,10,185
131,10,186
132,46,187
133,8,188
134,19,189
135,25,190
136,43,191
137,6,192
138,6,193
139,22,194
140,12,195
141,23,196
142,5,197
143,12,198
144,11,199
145,11,200
146,8,201
147,14,202
148,3,203
149,31,204
150,38,205
151,58,206
152,58,207
153,77,208
154,39,209
155,41,210
