,yearid,count(*)
0,1936-01-01,110
1,1937-01-01,118
2,1938-01-01,122
3,1939-01-01,115
4,1942-01-01,72
5,1944-01-01,1
6,1945-01-01,105
7,1946-01-01,108
8,1947-01-01,39
9,1948-01-01,106
10,1949-01-01,120
11,1950-01-01,100
12,1951-01-01,86
13,1952-01-01,75
14,1953-01-01,89
15,1954-01-01,53
16,1955-01-01,66
17,1956-01-01,106
18,1957-01-01,2
19,1958-01-01,154
20,1959-01-01,1
21,1960-01-01,134
22,1961-01-01,2
23,1962-01-01,81
24,1963-01-01,4
25,1964-01-01,94
26,1965-01-01,1
27,1966-01-01,50
28,1967-01-01,80
29,1968-01-01,50
30,1969-01-01,48
31,1970-01-01,49
32,1971-01-01,56
33,1972-01-01,51
34,1973-01-01,49
35,1974-01-01,48
36,1975-01-01,41
37,1976-01-01,36
38,1977-01-01,39
39,1978-01-01,39
40,1979-01-01,56
41,1980-01-01,63
42,1981-01-01,41
43,1982-01-01,44
44,1983-01-01,48
45,1984-01-01,31
46,1985-01-01,43
47,1986-01-01,43
48,1987-01-01,29
49,1988-01-01,44
50,1989-01-01,43
51,1990-01-01,44
52,1991-01-01,47
53,1992-01-01,39
54,1993-01-01,33
55,1994-01-01,41
56,1995-01-01,43
57,1996-01-01,39
58,1997-01-01,33
59,1998-01-01,30
60,1999-01-01,32
61,2000-01-01,33
62,2001-01-01,34
63,2002-01-01,28
64,2003-01-01,33
65,2004-01-01,32
66,2005-01-01,27
67,2006-01-01,46
68,2007-01-01,32
69,2008-01-01,30
70,2009-01-01,24
71,2010-01-01,28
72,2011-01-01,34
73,2012-01-01,28
74,2013-01-01,40
75,2014-01-01,39
76,2015-01-01,34
77,2016-01-01,32
