,yearid,count(*)
0,2016-01-01,32
1,2015-01-01,34
2,2014-01-01,39
3,2013-01-01,40
4,2012-01-01,28
5,2011-01-01,34
6,2010-01-01,28
7,2009-01-01,24
8,2008-01-01,30
9,2007-01-01,32
10,2006-01-01,46
11,2005-01-01,27
12,2004-01-01,32
13,2003-01-01,33
14,2002-01-01,28
15,2001-01-01,34
16,2000-01-01,33
17,1999-01-01,32
18,1998-01-01,30
19,1997-01-01,33
20,1996-01-01,39
21,1995-01-01,43
22,1994-01-01,41
23,1993-01-01,33
24,1992-01-01,39
25,1991-01-01,47
26,1990-01-01,44
27,1989-01-01,43
28,1988-01-01,44
29,1987-01-01,29
30,1986-01-01,43
31,1985-01-01,43
32,1984-01-01,31
33,1983-01-01,48
34,1982-01-01,44
35,1981-01-01,41
36,1980-01-01,63
37,1979-01-01,56
38,1978-01-01,39
39,1977-01-01,39
40,1976-01-01,36
41,1975-01-01,41
42,1974-01-01,48
43,1973-01-01,49
44,1972-01-01,51
45,1971-01-01,56
46,1970-01-01,49
47,1969-01-01,48
48,1968-01-01,50
49,1967-01-01,80
50,1966-01-01,50
51,1965-01-01,1
52,1964-01-01,94
53,1963-01-01,4
54,1962-01-01,81
55,1961-01-01,2
56,1960-01-01,134
57,1959-01-01,1
58,1958-01-01,154
59,1957-01-01,2
60,1956-01-01,106
61,1955-01-01,66
62,1954-01-01,53
63,1953-01-01,89
64,1952-01-01,75
65,1951-01-01,86
66,1950-01-01,100
67,1949-01-01,120
68,1948-01-01,106
69,1947-01-01,39
70,1946-01-01,108
71,1945-01-01,105
72,1944-01-01,1
73,1942-01-01,72
74,1939-01-01,115
75,1938-01-01,122
76,1937-01-01,118
77,1936-01-01,110
