,EMPLOYEE_ID,SALARY
0,100,24000
1,205,12000
2,168,11500
3,114,11000
4,148,11000
5,169,10000
6,151,9500
7,163,9500
8,103,9000
9,109,9000
10,175,8800
11,121,8200
12,153,8000
13,159,8000
14,112,7800
15,111,7700
16,160,7500
17,161,7000
18,113,6900
19,165,6800
20,123,6500
21,203,6500
22,166,6400
23,179,6200
24,173,6100
25,105,4800
26,107,4200
27,184,4200
28,185,4100
29,192,4000
30,137,3600
31,133,3300
32,138,3200
33,180,3200
34,194,3200
35,115,3100
36,142,3100
37,116,2900
38,117,2800
39,183,2800
40,143,2600
41,198,2600
42,199,2600
43,131,2500
44,140,2500
45,191,2500
46,127,2400
47,128,2200
