,JOB_TITLE,AVG(salary)
0,Accountant,7920
1,Accounting Manager,12000
2,Administration Assistant,4400
3,Administration Vice President,17000
4,Finance Manager,12000
5,Human Resources Representative,6500
6,Marketing Manager,13000
7,Marketing Representative,6000
8,President,24000
9,Programmer,5760
10,Public Accountant,8300
11,Public Relations Representative,10000
12,Purchasing Clerk,2780
13,Purchasing Manager,11000
14,Sales Manager,12200
15,Sales Representative,8350
16,Shipping Clerk,3215
17,Stock Clerk,2785
18,Stock Manager,7280
