,JOB_TITLE,AVG(salary)
0,Stock Manager,7280
1,Stock Clerk,2785
2,Shipping Clerk,3215
3,Sales Representative,8350
4,Sales Manager,12200
5,Purchasing Manager,11000
6,Purchasing Clerk,2780
7,Public Relations Representative,10000
8,Public Accountant,8300
9,Programmer,5760
10,President,24000
11,Marketing Representative,6000
12,Marketing Manager,13000
13,Human Resources Representative,6500
14,Finance Manager,12000
15,Administration Vice President,17000
16,Administration Assistant,4400
17,Accounting Manager,12000
18,Accountant,7920
