,JOB_TITLE,AVG(salary)
0,Purchasing Clerk,2780
1,Stock Clerk,2785
2,Shipping Clerk,3215
3,Administration Assistant,4400
4,Programmer,5760
5,Marketing Representative,6000
6,Human Resources Representative,6500
7,Stock Manager,7280
8,Accountant,7920
9,Public Accountant,8300
10,Sales Representative,8350
11,Public Relations Representative,10000
12,Purchasing Manager,11000
13,Accounting Manager,12000
14,Finance Manager,12000
15,Sales Manager,12200
16,Marketing Manager,13000
17,Administration Vice President,17000
18,President,24000
