,JOB_TITLE,AVG(salary)
0,President,24000
1,Administration Vice President,17000
2,Marketing Manager,13000
3,Sales Manager,12200
4,Finance Manager,12000
5,Accounting Manager,12000
6,Purchasing Manager,11000
7,Public Relations Representative,10000
8,Sales Representative,8350
9,Public Accountant,8300
10,Accountant,7920
11,Stock Manager,7280
12,Human Resources Representative,6500
13,Marketing Representative,6000
14,Programmer,5760
15,Administration Assistant,4400
16,Shipping Clerk,3215
17,Stock Clerk,2785
18,Purchasing Clerk,2780
