,year,avg(attendance)
0,1871-01-01,17125.0
1,1872-01-01,14603.333333333336
2,1873-01-01,0.0
3,1874-01-01,27249.7
4,1875-01-01,17329.391304347828
5,1876-01-01,0.0
6,1877-01-01,0.0
7,1878-01-01,0.0
8,1879-01-01,0.0
9,1880-01-01,0.0
10,1881-01-01,0.0
11,1882-01-01,0.0
12,1883-01-01,0.0
13,1884-01-01,0.0
14,1885-01-01,0.0
15,1886-01-01,11856.35294117647
16,1887-01-01,18591.666666666668
17,1888-01-01,8186.380952380952
18,1889-01-01,6767.571428571428
19,1890-01-01,10271.057142857142
20,1891-01-01,2324.0
21,1892-01-01,4512.642857142857
22,1893-01-01,9379.07142857143
23,1894-01-01,143202.375
24,1895-01-01,9883.333333333334
25,1896-01-01,0.0
26,1897-01-01,9875.0
27,1898-01-01,350.0
28,1899-01-01,3200.0
29,1900-01-01,36116.125
30,1901-01-01,7859.0
31,1902-01-01,0.0
32,1903-01-01,0.0
33,1904-01-01,0.0
34,1905-01-01,0.0
35,1906-01-01,46664.75
36,1907-01-01,0.0
37,1908-01-01,5284.6875
38,1909-01-01,0.0
39,1910-01-01,0.0
40,1911-01-01,117353.38888888886
41,1912-01-01,0.0
42,1913-01-01,0.0
43,1914-01-01,211425.64
44,1915-01-01,153360.2
45,1916-01-01,55500.0
46,1917-01-01,220268.875
47,1918-01-01,46148.75
48,1919-01-01,213044.1875
49,1920-01-01,280158.1176470588
50,1921-01-01,340739.625
51,1922-01-01,317164.375
52,1923-01-01,435409.8125
53,1924-01-01,501204.8125
54,1925-01-01,470832.6875
55,1926-01-01,238276.375
56,1927-01-01,488246.4705882353
57,1928-01-01,294843.25
58,1929-01-01,336567.82352941175
59,1930-01-01,213375.82352941175
60,1931-01-01,285558.4117647059
61,1932-01-01,221597.8333333333
62,1933-01-01,295785.1875
63,1934-01-01,189549.0
64,1935-01-01,350890.6875
65,1936-01-01,436795.58823529404
66,1937-01-01,437536.11764705885
67,1938-01-01,476012.22222222225
68,1939-01-01,604727.8823529412
69,1940-01-01,628654.4705882353
70,1941-01-01,560421.8823529412
71,1942-01-01,485573.6470588236
72,1943-01-01,465679.41176470596
73,1944-01-01,524242.9411764706
74,1945-01-01,651439.2352941176
75,1946-01-01,1019072.2777777779
76,1947-01-01,1286085.625
77,1948-01-01,1319362.0
78,1949-01-01,1285012.375
79,1950-01-01,1088765.5625
80,1951-01-01,1024580.3125
81,1952-01-01,912397.625
82,1953-01-01,929984.5625
83,1954-01-01,1033169.8125
84,1955-01-01,1041463.875
85,1956-01-01,991736.7647058823
86,1957-01-01,1007885.2941176472
87,1958-01-01,1087706.5625
88,1959-01-01,1203611.5625
89,1960-01-01,1248884.6875
90,1961-01-01,1051839.388888889
91,1962-01-01,1074105.2
92,1963-01-01,1039067.8
93,1964-01-01,1064345.1
94,1965-01-01,1127733.0
95,1966-01-01,1205586.5714285714
96,1967-01-01,1199437.7
97,1968-01-01,1093400.5238095238
98,1969-01-01,1094134.84
99,1970-01-01,1103714.0
100,1971-01-01,1218456.666666667
101,1972-01-01,1145264.708333333
102,1973-01-01,1255066.875
103,1974-01-01,1249488.416666667
104,1975-01-01,1241784.458333333
105,1976-01-01,1304951.458333333
106,1977-01-01,1510126.3461538462
107,1978-01-01,1562493.230769231
108,1979-01-01,1677201.4230769232
109,1980-01-01,1656938.730769231
110,1981-01-01,1023446.3461538459
111,1982-01-01,1717054.4230769232
112,1983-01-01,1745448.6538461538
113,1984-01-01,1721233.730769231
114,1985-01-01,1801622.3846153843
115,1986-01-01,1828231.7692307688
116,1987-01-01,2001087.1153846157
117,1988-01-01,2038187.4230769232
118,1989-01-01,2052794.9259259256
119,1990-01-01,2114356.576923077
120,1991-01-01,2187885.346153846
121,1992-01-01,2151571.1153846155
122,1993-01-01,2509234.0714285714
123,1994-01-01,1785157.5357142857
124,1995-01-01,1804337.8571428568
125,1996-01-01,2005524.2333333332
126,1997-01-01,2180498.0
127,1998-01-01,2278377.7741935486
128,1999-01-01,2197934.625
129,2000-01-01,2275673.625
130,2001-01-01,2341054.3870967743
131,2002-01-01,2264819.8666666667
132,2003-01-01,2182286.2258064514
133,2004-01-01,2212707.484848485
134,2005-01-01,2497232.666666666
135,2006-01-01,2534515.833333333
136,2007-01-01,2484490.0
137,2008-01-01,2382495.8484848486
138,2009-01-01,2447339.6
139,2010-01-01,2283591.625
140,2011-01-01,2368569.903225806
141,2012-01-01,2414815.096774193
142,2013-01-01,2387968.935483871
143,2014-01-01,2378697.483870968
