,year,avg(attendance)
0,2014-01-01,2378697.483870968
1,2013-01-01,2387968.935483871
2,2012-01-01,2414815.096774193
3,2011-01-01,2368569.903225806
4,2010-01-01,2283591.625
5,2009-01-01,2447339.6
6,2008-01-01,2382495.8484848486
7,2007-01-01,2484490.0
8,2006-01-01,2534515.833333333
9,2005-01-01,2497232.666666666
10,2004-01-01,2212707.484848485
11,2003-01-01,2182286.2258064514
12,2002-01-01,2264819.8666666667
13,2001-01-01,2341054.3870967743
14,2000-01-01,2275673.625
15,1999-01-01,2197934.625
16,1998-01-01,2278377.7741935486
17,1997-01-01,2180498.0
18,1996-01-01,2005524.2333333332
19,1995-01-01,1804337.8571428568
20,1994-01-01,1785157.5357142857
21,1993-01-01,2509234.0714285714
22,1992-01-01,2151571.1153846155
23,1991-01-01,2187885.346153846
24,1990-01-01,2114356.576923077
25,1989-01-01,2052794.9259259256
26,1988-01-01,2038187.4230769232
27,1987-01-01,2001087.1153846157
28,1986-01-01,1828231.7692307688
29,1985-01-01,1801622.3846153843
30,1984-01-01,1721233.730769231
31,1983-01-01,1745448.6538461538
32,1982-01-01,1717054.4230769232
33,1981-01-01,1023446.3461538459
34,1980-01-01,1656938.730769231
35,1979-01-01,1677201.4230769232
36,1978-01-01,1562493.230769231
37,1977-01-01,1510126.3461538462
38,1976-01-01,1304951.458333333
39,1975-01-01,1241784.458333333
40,1974-01-01,1249488.416666667
41,1973-01-01,1255066.875
42,1972-01-01,1145264.708333333
43,1971-01-01,1218456.666666667
44,1970-01-01,1103714.0
45,1969-01-01,1094134.84
46,1968-01-01,1093400.5238095238
47,1967-01-01,1199437.7
48,1966-01-01,1205586.5714285714
49,1965-01-01,1127733.0
50,1964-01-01,1064345.1
51,1963-01-01,1039067.8
52,1962-01-01,1074105.2
53,1961-01-01,1051839.388888889
54,1960-01-01,1248884.6875
55,1959-01-01,1203611.5625
56,1958-01-01,1087706.5625
57,1957-01-01,1007885.2941176472
58,1956-01-01,991736.7647058823
59,1955-01-01,1041463.875
60,1954-01-01,1033169.8125
61,1953-01-01,929984.5625
62,1952-01-01,912397.625
63,1951-01-01,1024580.3125
64,1950-01-01,1088765.5625
65,1949-01-01,1285012.375
66,1948-01-01,1319362.0
67,1947-01-01,1286085.625
68,1946-01-01,1019072.2777777779
69,1945-01-01,651439.2352941176
70,1944-01-01,524242.9411764706
71,1943-01-01,465679.41176470596
72,1942-01-01,485573.6470588236
73,1941-01-01,560421.8823529412
74,1940-01-01,628654.4705882353
75,1939-01-01,604727.8823529412
76,1938-01-01,476012.22222222225
77,1937-01-01,437536.11764705885
78,1936-01-01,436795.58823529404
79,1935-01-01,350890.6875
80,1934-01-01,189549.0
81,1933-01-01,295785.1875
82,1932-01-01,221597.8333333333
83,1931-01-01,285558.4117647059
84,1930-01-01,213375.82352941175
85,1929-01-01,336567.82352941175
86,1928-01-01,294843.25
87,1927-01-01,488246.4705882353
88,1926-01-01,238276.375
89,1925-01-01,470832.6875
90,1924-01-01,501204.8125
91,1923-01-01,435409.8125
92,1922-01-01,317164.375
93,1921-01-01,340739.625
94,1920-01-01,280158.1176470588
95,1919-01-01,213044.1875
96,1918-01-01,46148.75
97,1917-01-01,220268.875
98,1916-01-01,55500.0
99,1915-01-01,153360.2
100,1914-01-01,211425.64
101,1913-01-01,0.0
102,1912-01-01,0.0
103,1911-01-01,117353.38888888886
104,1910-01-01,0.0
105,1909-01-01,0.0
106,1908-01-01,5284.6875
107,1907-01-01,0.0
108,1906-01-01,46664.75
109,1905-01-01,0.0
110,1904-01-01,0.0
111,1903-01-01,0.0
112,1902-01-01,0.0
113,1901-01-01,7859.0
114,1900-01-01,36116.125
115,1899-01-01,3200.0
116,1898-01-01,350.0
117,1897-01-01,9875.0
118,1896-01-01,0.0
119,1895-01-01,9883.333333333334
120,1894-01-01,143202.375
121,1893-01-01,9379.07142857143
122,1892-01-01,4512.642857142857
123,1891-01-01,2324.0
124,1890-01-01,10271.057142857142
125,1889-01-01,6767.571428571428
126,1888-01-01,8186.380952380952
127,1887-01-01,18591.666666666668
128,1886-01-01,11856.35294117647
129,1885-01-01,0.0
130,1884-01-01,0.0
131,1883-01-01,0.0
132,1882-01-01,0.0
133,1881-01-01,0.0
134,1880-01-01,0.0
135,1879-01-01,0.0
136,1878-01-01,0.0
137,1877-01-01,0.0
138,1876-01-01,0.0
139,1875-01-01,17329.391304347828
140,1874-01-01,27249.7
141,1873-01-01,0.0
142,1872-01-01,14603.333333333336
143,1871-01-01,17125.0
