,HIRE_DATE,SALARY
0,1987-09-30,12000
1,1987-09-28,6500
2,1987-09-27,6000
3,1987-09-25,4400
4,1987-09-24,2600
5,1987-09-23,2600
6,1987-09-22,3000
7,1987-09-21,3100
8,1987-09-20,2800
9,1987-09-18,3900
10,1987-09-17,4000
11,1987-09-16,2500
12,1987-09-14,3600
13,1987-09-13,3800
14,1987-09-12,3000
15,1987-09-11,3400
16,1987-09-10,4100
17,1987-09-09,4200
18,1987-09-08,2800
19,1987-09-06,3100
20,1987-09-05,3200
21,1987-09-04,6200
22,1987-09-02,8400
23,1987-09-01,8600
24,1987-08-31,8800
25,1987-08-30,11000
26,1987-08-29,6100
27,1987-08-28,7300
28,1987-08-26,9600
29,1987-08-25,10000
30,1987-08-24,11500
31,1987-08-22,6400
32,1987-08-21,6800
33,1987-08-19,9500
34,1987-08-18,10500
35,1987-08-17,7000
36,1987-08-16,7500
37,1987-08-15,8000
38,1987-08-14,9000
39,1987-08-13,9500
40,1987-08-12,10000
41,1987-08-11,7000
42,1987-08-10,7500
43,1987-08-09,8000
44,1987-08-08,9000
45,1987-08-07,9500
46,1987-08-06,10000
47,1987-08-05,10500
48,1987-08-04,11000
49,1987-08-03,12000
50,1987-08-02,13500
51,1987-08-01,14000
52,1987-07-31,2500
53,1987-07-30,2600
54,1987-07-29,3100
55,1987-07-28,3500
56,1987-07-27,2500
57,1987-07-26,2700
58,1987-07-25,3200
59,1987-07-24,3600
60,1987-07-23,2200
61,1987-07-22,2400
62,1987-07-20,3300
63,1987-07-19,2100
64,1987-07-16,3300
65,1987-07-15,2200
66,1987-07-13,2700
67,1987-07-12,3200
68,1987-07-11,5800
69,1987-07-10,6500
70,1987-07-06,2500
71,1987-07-05,2600
72,1987-07-04,2800
73,1987-07-03,2900
74,1987-07-02,3100
75,1987-07-01,11000
76,1987-06-30,6900
77,1987-06-27,8200
78,1987-06-26,9000
79,1987-06-25,12000
80,1987-06-24,4200
81,1987-06-23,4800
82,1987-06-22,4800
83,1987-06-21,6000
84,1987-06-20,9000
85,1987-06-19,17000
86,1987-06-18,17000
87,1987-06-17,24000
