,payment_date,COUNT(payment_date)
0,2005-05-25,2
1,2005-05-26,1
2,2005-05-29,1
3,2005-05-30,1
4,2005-06-15,2
5,2005-06-16,1
6,2005-06-17,3
7,2005-06-18,1
8,2005-06-19,2
9,2005-06-20,3
10,2005-06-21,3
11,2005-07-06,5
12,2005-07-07,2
13,2005-07-08,3
14,2005-07-09,3
15,2005-07-10,4
16,2005-07-12,1
17,2005-07-26,1
18,2005-07-27,4
19,2005-07-28,3
20,2005-07-29,6
21,2005-07-30,7
22,2005-07-31,8
23,2005-08-01,6
24,2005-08-02,8
25,2005-08-16,1
26,2005-08-17,2
27,2005-08-18,5
28,2005-08-19,4
29,2005-08-20,4
30,2005-08-21,6
31,2005-08-22,6
32,2005-08-23,5
