,date,COUNT(date)
0,2015-08-31,4
1,2015-08-30,1
2,2015-08-29,2
3,2015-08-28,5
4,2015-08-27,5
5,2015-08-26,3
6,2015-08-25,1
7,2015-08-22,1
8,2015-08-18,1
9,2015-08-17,5
10,2015-08-16,5
11,2015-08-15,5
12,2015-08-14,1
13,2015-08-13,2
14,2015-08-12,3
15,2015-08-11,1
16,2015-08-10,1
17,2015-08-08,1
18,2015-08-07,1
19,2015-08-01,2
20,2015-07-30,2
21,2015-07-29,4
22,2015-07-28,5
23,2015-07-27,5
24,2015-07-20,4
25,2015-07-19,5
26,2015-07-17,1
27,2015-07-16,2
28,2015-07-15,3
29,2015-07-13,1
30,2015-07-05,1
31,2015-07-04,1
32,2015-07-03,2
33,2015-07-01,2
34,2015-06-30,5
35,2015-06-27,1
36,2015-06-26,2
37,2015-06-25,4
38,2015-06-24,1
39,2015-06-20,1
40,2015-06-19,1
41,2015-06-13,3
42,2015-06-12,4
43,2015-06-11,2
44,2015-06-09,2
45,2015-06-08,5
46,2015-06-07,1
47,2015-05-30,1
48,2015-05-03,1
49,2015-05-02,1
50,2015-05-01,2
51,2015-04-30,5
52,2015-04-29,1
53,2015-04-27,5
54,2015-04-16,4
55,2015-03-26,5
56,2015-03-19,1
57,2015-03-15,1
58,2015-03-14,5
59,2015-02-27,1
60,2015-02-02,1
61,2015-01-27,1
62,2014-10-30,1
63,2014-10-29,1
64,2014-10-18,1
65,2014-10-13,5
66,2014-10-12,5
67,2014-10-08,4
68,2014-10-07,1
69,2014-10-06,5
70,2014-10-05,5
71,2014-10-04,5
72,2014-10-03,5
73,2014-10-02,5
74,2014-10-01,5
75,2014-09-24,3
76,2014-09-18,3
77,2014-09-17,4
78,2014-09-16,4
79,2014-09-13,1
80,2014-09-12,3
81,2014-09-11,5
82,2014-09-10,5
83,2014-09-04,1
84,2014-09-01,5
85,2014-08-31,2
86,2014-08-30,4
87,2014-08-29,2
88,2014-08-28,1
89,2014-08-27,3
90,2014-08-22,3
91,2014-08-21,1
92,2014-08-20,1
93,2014-08-17,1
94,2014-08-16,1
95,2014-08-15,1
96,2014-08-14,1
97,2014-08-13,1
98,2014-08-10,1
99,2014-08-08,1
100,2014-08-06,4
101,2014-08-05,1
102,2014-08-01,1
103,2014-07-31,1
104,2014-07-30,2
105,2014-07-29,3
106,2014-07-28,1
107,2014-07-27,4
108,2014-07-26,4
109,2014-07-25,5
110,2014-07-24,5
111,2014-07-16,3
112,2014-07-15,3
113,2014-07-14,4
114,2014-07-10,1
115,2014-07-09,1
116,2014-07-08,1
117,2014-07-07,3
118,2014-07-06,1
119,2014-07-05,2
120,2014-07-03,1
121,2014-07-02,1
122,2014-06-30,5
123,2014-06-29,5
124,2014-06-20,4
125,2014-06-18,5
126,2014-06-17,1
127,2014-06-14,5
128,2014-06-12,1
129,2014-06-09,4
130,2014-06-08,5
131,2014-06-05,1
132,2014-06-04,1
133,2014-06-01,1
134,2014-05-29,4
135,2014-05-26,4
136,2014-05-25,4
137,2014-05-16,1
138,2014-05-15,5
139,2014-05-14,5
140,2014-05-13,5
141,2014-05-12,5
142,2014-05-02,1
143,2014-05-01,5
144,2014-04-30,5
145,2014-04-29,5
146,2014-04-20,3
147,2014-04-10,1
148,2014-04-08,4
149,2014-04-07,4
150,2014-03-16,1
151,2014-03-15,1
152,2014-03-09,1
153,2013-10-17,4
154,2013-10-16,5
155,2013-10-15,3
156,2013-10-07,5
157,2013-10-06,5
158,2013-10-05,5
159,2013-10-04,3
160,2013-09-28,4
161,2013-09-27,1
162,2013-09-23,4
163,2013-09-19,5
164,2013-09-18,4
165,2013-09-16,2
166,2013-09-10,2
167,2013-09-09,4
168,2013-09-08,3
169,2013-09-07,5
170,2013-09-06,5
171,2013-09-05,2
172,2013-09-04,1
173,2013-09-03,2
174,2013-09-02,1
175,2013-09-01,4
176,2013-08-31,1
177,2013-08-30,4
178,2013-08-29,3
