,lat,min(T2.duration)
0,37.329732,195
1,37.330698,211
2,37.333988,169
3,37.331415,237
4,37.336721,182
5,37.333798,147
6,37.330165,161
7,37.348742,259
8,37.337391,219
9,37.335885,209
10,37.332808,205
11,37.339301,101
12,37.332692,165
13,37.333955,258
14,37.481758,198
15,37.486078000000006,206
16,37.487616,126
17,37.484219,1193
18,37.48537,651
19,37.487682,225
20,37.389218,145
21,37.394358,189
22,37.40694000000001,153
23,37.39027700000001,191
24,37.400443,198
25,37.385956,166
26,37.400241,320
27,37.443988,80
28,37.444521,631
29,37.429082,151
30,37.448598,145
31,37.4256839,166
32,37.78387100000001,104
33,37.795001,92
34,37.79728,84
35,37.794231,76
36,37.795425,175
37,37.788975,73
38,37.799953,111
39,37.790302,139
40,37.795392,114
41,37.79146400000001,63
42,37.787152,136
43,37.789756,86
44,37.792251,72
45,37.781752,73
46,37.77865,120
47,37.781332,107
48,37.80477,62
49,37.780526,68
50,37.785299,111
51,37.78697800000001,62
52,37.782259,71
53,37.771058,138
54,37.774814,70
55,37.776619,101
56,37.784878000000006,126
57,37.7766,77
58,37.776617,61
59,37.788446,209
60,37.781039,106
61,37.798522,143
62,37.794139,64
63,37.7913,87
64,37.786305,140
65,37.789625,104
66,37.352601,409
67,37.798541,105
68,37.491269,225
69,37.342725,269
