,start_station_name,start_station_id
0,2nd at Folsom,62
1,2nd at South Park,64
2,2nd at Townsend,61
3,Beale at Market,56
4,Embarcadero at Bryant,54
5,Embarcadero at Folsom,51
6,Embarcadero at Sansome,60
7,Grant Avenue at Columbus Avenue,73
8,Harry Bridges Plaza (Ferry Building),50
9,Howard at 2nd,63
10,Market at 10th,67
11,Market at 4th,76
12,Market at Sansome,77
13,Powell Street BART,39
14,San Francisco Caltrain (Townsend at 4th),70
15,San Francisco Caltrain 2 (330 Townsend),69
16,Steuart at Market,74
17,Temporary Transbay Terminal (Howard at Beale),55
18,Townsend at 7th,65
