,start_station_name,start_station_id
0,Townsend at 7th,65
1,Temporary Transbay Terminal (Howard at Beale),55
2,Steuart at Market,74
3,San Francisco Caltrain 2 (330 Townsend),69
4,San Francisco Caltrain (Townsend at 4th),70
5,Powell Street BART,39
6,Market at Sansome,77
7,Market at 4th,76
8,Market at 10th,67
9,Howard at 2nd,63
10,Harry Bridges Plaza (Ferry Building),50
11,Grant Avenue at Columbus Avenue,73
12,Embarcadero at Sansome,60
13,Embarcadero at Folsom,51
14,Embarcadero at Bryant,54
15,Beale at Market,56
16,2nd at Townsend,61
17,2nd at South Park,64
18,2nd at Folsom,62
