,start_station_name,start_station_id
0,Powell Street BART,39
1,Harry Bridges Plaza (Ferry Building),50
2,Embarcadero at Folsom,51
3,Embarcadero at Bryant,54
4,Temporary Transbay Terminal (Howard at Beale),55
5,Beale at Market,56
6,Embarcadero at Sansome,60
7,2nd at Townsend,61
8,2nd at Folsom,62
9,Howard at 2nd,63
10,2nd at South Park,64
11,Townsend at 7th,65
12,Market at 10th,67
13,San Francisco Caltrain 2 (330 Townsend),69
14,San Francisco Caltrain (Townsend at 4th),70
15,Grant Avenue at Columbus Avenue,73
16,Steuart at Market,74
17,Market at 4th,76
18,Market at Sansome,77
