,date,COUNT(date)
0,2013-08-30,3
1,2013-09-06,4
2,2013-09-07,5
3,2013-09-08,1
4,2013-09-09,2
5,2013-09-19,3
6,2014-04-08,1
7,2014-04-29,4
8,2014-04-30,5
9,2014-05-01,4
10,2014-05-12,4
11,2014-05-13,5
12,2014-05-14,5
13,2014-05-15,4
14,2014-06-08,5
15,2014-06-09,2
16,2014-06-12,1
17,2014-06-14,2
18,2014-06-18,4
19,2014-06-29,2
20,2014-06-30,4
21,2014-07-14,1
22,2014-07-24,2
23,2014-07-25,5
24,2014-07-26,1
25,2014-07-27,1
26,2014-08-30,1
27,2014-09-01,3
28,2014-09-10,2
29,2014-09-11,1
30,2014-10-01,2
31,2014-10-02,5
32,2014-10-03,5
33,2014-10-04,5
34,2014-10-05,5
35,2014-10-06,1
36,2014-10-12,5
37,2014-10-13,1
38,2014-10-18,1
39,2015-01-27,1
40,2015-02-27,1
41,2015-03-14,1
42,2015-04-27,1
43,2015-04-30,4
44,2015-05-01,1
45,2015-05-02,1
46,2015-05-03,1
47,2015-06-08,5
48,2015-06-12,1
49,2015-06-25,2
50,2015-06-30,4
51,2015-07-01,1
52,2015-07-19,4
53,2015-07-20,3
54,2015-07-27,3
55,2015-07-28,5
56,2015-07-29,1
57,2015-08-08,1
58,2015-08-13,1
59,2015-08-15,5
60,2015-08-16,4
61,2015-08-17,2
62,2015-08-26,1
63,2015-08-27,4
64,2015-08-28,4
