,GovernmentForm,sum(Population)
0,Commonwealth of the US,3947000
1,Constitutional Monarchy (Emirate),1972000
2,"Constitutional Monarchy, Federation",82516000
3,Dependent Territory of the UK,193050
4,Emirate Federation,2441000
5,Federation,7160400
6,Monarchy (Emirate),617000
7,Monarchy (Sultanate),2870000
8,Nonmetropolitan Territory of France,464000
9,Nonmetropolitan Territory of The Netherlands,320000
10,Overseas Department of France,1731000
11,Parliamentary Coprincipality,78000
12,Part of Denmark,99000
13,Socialistic Republic,115072000
14,Socialistic State,5605000
15,Special Administrative Region of China,7255000
16,US Territory,329000
