,GovernmentForm,sum(Population)
0,US Territory,329000
1,Special Administrative Region of China,7255000
2,Socialistic State,5605000
3,Socialistic Republic,115072000
4,Part of Denmark,99000
5,Parliamentary Coprincipality,78000
6,Overseas Department of France,1731000
7,Nonmetropolitan Territory of The Netherlands,320000
8,Nonmetropolitan Territory of France,464000
9,Monarchy (Sultanate),2870000
10,Monarchy (Emirate),617000
11,Federation,7160400
12,Emirate Federation,2441000
13,Dependent Territory of the UK,193050
14,"Constitutional Monarchy, Federation",82516000
15,Constitutional Monarchy (Emirate),1972000
16,Commonwealth of the US,3947000
