,GovernmentForm,sum(Population)
0,Socialistic Republic,115072000
1,"Constitutional Monarchy, Federation",82516000
2,Special Administrative Region of China,7255000
3,Federation,7160400
4,Socialistic State,5605000
5,Commonwealth of the US,3947000
6,Monarchy (Sultanate),2870000
7,Emirate Federation,2441000
8,Constitutional Monarchy (Emirate),1972000
9,Overseas Department of France,1731000
10,Monarchy (Emirate),617000
11,Nonmetropolitan Territory of France,464000
12,US Territory,329000
13,Nonmetropolitan Territory of The Netherlands,320000
14,Dependent Territory of the UK,193050
15,Part of Denmark,99000
16,Parliamentary Coprincipality,78000
