,sum(tours),ranking_date
0,0,19870119
1,0,19870126
2,0,19870202
3,0,19870209
4,0,19870302
5,0,19870330
6,0,19870406
7,0,19870413
8,0,19870420
9,0,19870427
10,0,19870504
11,0,19870511
12,0,19870518
13,0,19870525
14,0,19870601
15,0,19870608
16,0,19870615
17,0,19870622
18,0,19870629
19,0,19870706
20,0,19870713
21,0,19870720
22,0,19870727
23,0,19870803
24,0,19870810
25,0,19870817
26,0,19870824
27,0,19870831
28,0,19870907
29,0,19870914
30,0,19870921
31,0,19870928
32,0,19871005
33,0,19871012
34,0,19871019
35,0,19871026
36,0,19871102
37,0,19871109
38,0,19871116
39,0,19871123
40,0,19871130
41,0,19871207
42,0,19871214
43,0,19871221
44,0,19871228
45,0,19880101
46,0,19880104
47,0,19880111
48,0,19880118
49,0,19880125
50,0,19880201
51,0,19880208
52,0,19880215
53,0,19880222
54,0,19880229
55,0,19880307
56,0,19880314
57,0,19880321
58,0,19880328
59,0,19880404
60,0,19880411
61,0,19880418
62,0,19880425
63,0,19880502
64,0,19880509
65,0,19880516
66,0,19880523
67,0,19880530
68,0,19880606
69,0,19880613
70,0,19880620
71,0,19880627
72,0,19880704
73,0,19880711
74,0,19880718
75,0,19880725
76,0,19880801
77,0,19880808
78,0,19880815
79,0,19880822
80,0,19880829
81,0,19880905
82,0,19880912
83,0,19880919
84,0,19880926
85,0,19881003
86,0,19881010
87,0,19881017
88,0,19881024
89,0,19881031
90,0,19881107
91,0,19881114
92,29,19881121
93,29,19881128
94,29,19881205
95,29,19881212
96,29,19881219
97,29,19881226
98,28,19890101
99,29,19890102
100,29,19890109
101,29,19890116
102,29,19890123
103,29,19890130
104,29,19890206
105,0,19890213
106,0,19890220
107,0,19890227
108,0,19890306
109,29,19890313
110,29,19890320
111,0,19890327
112,0,19890403
113,29,19890410
114,29,19890417
115,29,19890424
116,29,19890501
117,29,19890508
118,29,19890515
119,29,19890522
120,29,19890529
121,29,19890605
122,29,19890612
123,29,19890619
124,29,19890626
125,29,19890703
126,29,19890710
127,29,19890717
128,29,19890724
129,29,19890731
130,29,19890807
131,29,19890814
132,29,19890821
133,29,19890828
134,29,19890904
135,29,19890911
136,29,19890918
137,29,19890925
138,29,19891002
139,29,19891009
140,29,19891016
141,29,19891023
142,29,19891030
143,29,19891106
144,29,19891113
145,29,19891120
146,29,19891127
147,29,19891204
148,29,19891211
149,29,19891218
150,29,19891225
151,28,19900101
152,29,19900108
153,29,19900115
154,29,19900122
155,29,19900129
156,29,19900205
157,29,19900212
158,29,19900219
159,29,19900226
160,29,19900305
161,29,19900312
162,29,19900319
163,29,19900326
164,29,19900402
165,29,19900409
166,29,19900416
167,29,19900423
168,29,19900430
169,29,19900507
170,29,19900514
171,29,19900521
172,29,19900528
173,29,19900604
174,29,19900611
175,30,19900618
176,30,19900625
177,30,19900702
178,30,19900709
179,30,19900716
180,30,19900723
181,30,19900730
182,30,19900806
183,30,19900813
184,30,19900820
185,30,19900827
186,30,19900903
187,30,19900910
188,30,19900917
189,30,19900924
190,30,19901001
191,30,19901008
192,30,19901015
193,30,19901022
194,30,19901029
195,30,19901105
196,30,19901112
197,30,19901119
198,30,19901126
199,30,19901203
200,30,19901210
201,30,19901217
202,30,19901224
203,30,19901231
204,29,19910101
205,30,19910107
206,30,19910114
207,30,19910121
208,30,19910128
209,30,19910204
210,30,19910211
211,30,19910218
212,30,19910225
213,30,19910304
214,29,19910311
215,29,19910318
216,29,19910325
217,29,19910401
218,29,19910408
219,29,19910415
220,29,19910422
221,29,19910429
222,29,19910506
223,29,19910513
224,29,19910520
225,29,19910527
226,29,19910603
227,29,19910610
228,29,19910617
229,29,19910624
230,29,19910701
231,30,19910708
232,29,19910715
233,29,19910722
234,29,19910729
235,29,19910805
236,29,19910812
237,29,19910819
238,30,19910826
239,30,19910902
240,30,19910909
241,30,19910916
242,30,19910923
243,30,19910930
244,31,19911007
245,31,19911014
246,31,19911021
247,31,19911028
248,44,19911104
249,44,19911111
250,44,19911118
251,44,19911125
252,31,19911202
253,44,19911209
254,45,19911216
255,45,19911223
256,45,19911230
257,44,19920101
258,45,19920106
259,45,19920113
260,45,19920120
261,45,19920127
262,45,19920203
263,29,19920210
264,45,19920217
265,45,19920224
266,45,19920302
267,45,19920309
268,45,19920316
269,45,19920323
270,45,19920330
271,45,19920406
272,45,19920413
273,45,19920420
274,45,19920427
275,45,19920504
276,45,19920511
277,45,19920518
278,45,19920525
279,45,19920601
280,45,19920608
281,45,19920615
282,45,19920622
283,45,19920629
284,45,19920706
285,46,19920713
286,46,19920720
287,45,19920727
288,73,19920803
289,73,19920810
290,73,19920817
291,119,19920824
292,90,19920831
293,90,19920907
294,90,19920914
295,90,19920921
296,90,19920928
297,62,19921005
298,62,19921012
299,62,19921019
300,62,19921026
301,62,19921102
302,62,19921109
303,62,19921116
304,62,19921123
305,62,19921130
306,62,19921207
307,62,19921214
308,62,19921221
309,45,19921228
310,44,19930101
311,45,19930104
312,45,19930111
313,45,19930118
314,45,19930125
315,45,19930201
316,32,19930208
317,45,19930215
318,45,19930222
319,45,19930301
320,45,19930308
321,45,19930315
322,45,19930322
323,45,19930329
324,45,19930405
325,62,19930412
326,62,19930419
327,62,19930426
328,62,19930503
329,62,19930510
330,44,19930517
331,44,19930524
332,44,19930531
333,44,19930607
334,44,19930614
335,44,19930621
336,44,19930628
337,62,19930705
338,62,19930712
339,62,19930719
340,62,19930726
341,43,19930802
342,43,19930809
343,43,19930816
344,43,19930823
345,43,19930830
346,43,19930906
347,43,19930913
348,76,19930920
349,75,19930927
350,58,19931004
351,58,19931011
352,58,19931018
353,58,19931025
354,58,19931101
355,58,19931108
356,75,19931115
357,75,19931122
358,75,19931129
359,75,19931206
360,75,19931213
361,75,19931220
362,75,19931227
363,73,19940101
364,75,19940103
365,75,19940110
366,75,19940117
367,75,19940124
368,62,19940131
369,63,19940207
370,63,19940214
371,63,19940221
372,62,19940228
373,62,19940307
374,62,19940314
375,62,19940321
376,61,19940328
377,62,19940404
378,61,19940411
379,44,19940418
380,57,19940425
381,57,19940502
382,57,19940509
383,57,19940516
384,57,19940523
385,57,19940530
386,65,19940606
387,65,19940613
388,65,19940620
389,65,19940627
390,67,19940704
391,67,19940711
392,60,19940718
393,60,19940725
394,60,19940801
395,60,19940808
396,60,19940815
397,60,19940822
398,60,19940829
399,60,19940905
400,68,19940912
401,68,19940919
402,69,19940926
403,69,19941003
404,69,19941010
405,69,19941017
406,59,19941024
407,59,19941031
408,69,19941107
409,69,19941114
410,69,19941121
411,69,19941128
412,69,19941205
413,69,19941212
414,69,19941219
415,69,19941226
416,69,19950101
417,69,19950102
418,69,19950109
419,69,19950116
420,69,19950123
421,69,19950130
422,69,19950206
423,69,19950213
424,69,19950220
425,69,19950227
426,69,19950306
427,69,19950313
428,69,19950320
429,69,19950327
430,69,19950403
431,69,19950410
432,69,19950417
433,69,19950424
434,69,19950501
435,69,19950508
436,69,19950515
437,69,19950522
438,69,19950529
439,69,19950605
440,96,19950612
441,96,19950619
442,96,19950626
443,96,19950703
444,97,19950710
445,118,19950717
446,118,19950724
447,118,19950731
448,118,19950807
449,118,19950814
450,131,19950821
451,131,19950828
452,131,19950904
453,131,19950911
454,131,19950918
455,131,19950925
456,131,19951002
457,131,19951009
458,131,19951016
459,131,19951023
460,131,19951030
461,131,19951106
462,138,19951113
463,138,19951120
464,138,19951127
465,138,19951204
466,138,19951211
467,138,19951218
468,138,19951225
469,138,19960101
470,125,19960108
471,125,19960115
472,125,19960122
473,125,19960129
474,125,19960205
475,125,19960212
476,125,19960219
477,147,19960226
478,147,19960304
479,147,19960311
480,147,19960318
481,147,19960325
482,147,19960401
483,147,19960408
484,147,19960415
485,147,19960422
486,147,19960429
487,147,19960506
488,147,19960513
489,147,19960520
490,147,19960527
491,147,19960603
492,147,19960610
493,147,19960617
494,147,19960624
495,147,19960701
496,171,19960708
497,171,19960715
498,171,19960722
499,171,19960729
500,171,19960805
501,171,19960812
502,171,19960819
503,171,19960826
504,171,19960902
505,194,19960909
506,172,19960916
507,172,19960923
508,172,19960930
509,172,19961007
510,175,19961014
511,175,19961021
512,191,19961028
513,191,19961104
514,213,19961111
515,213,19961118
516,213,19961125
517,213,19961202
518,213,19961209
519,213,19961216
520,185,19961223
521,185,19961230
522,185,19970101
523,185,19970106
524,185,19970113
525,185,19970120
526,209,19970127
527,209,19970203
528,209,19970210
529,209,19970217
530,223,19970224
531,223,19970303
532,223,19970310
533,223,19970317
534,223,19970324
535,223,19970331
536,223,19970407
537,225,19970414
538,225,19970421
539,225,19970428
540,225,19970505
541,225,19970512
542,225,19970519
543,225,19970526
544,225,19970602
545,225,19970609
546,225,19970616
547,225,19970623
548,225,19970630
549,164,19970707
550,257,19970714
551,257,19970721
552,257,19970728
553,273,19970804
554,273,19970811
555,273,19970818
556,273,19970825
557,273,19970901
558,273,19970908
559,273,19970915
560,273,19970922
561,273,19970929
562,273,19971006
563,299,19971013
564,314,19971020
565,314,19971027
566,337,19971103
567,337,19971110
568,363,19971117
569,363,19971124
570,363,19971201
571,394,19971208
572,394,19971215
573,394,19971222
574,394,19971229
575,394,19980101
576,394,19980105
577,394,19980112
578,394,19980119
579,394,19980126
580,394,19980202
581,394,19980209
582,394,19980216
583,394,19980223
584,394,19980302
585,394,19980309
586,394,19980316
587,394,19980323
588,426,19980330
589,426,19980406
590,459,19980413
591,459,19980420
592,459,19980427
593,459,19980504
594,459,19980511
595,459,19980518
596,459,19980525
597,459,19980601
598,543,19980608
599,569,19980615
600,590,19980622
601,590,19980629
602,633,19980706
603,633,19980713
604,633,19980720
605,634,19980727
606,634,19980803
607,634,19980810
608,631,19980817
609,631,19980824
610,660,19980831
611,660,19980907
612,663,19980914
613,663,19980921
614,683,19980928
615,688,19981005
616,688,19981012
617,696,19981019
618,693,19981026
619,693,19981102
620,692,19981109
621,692,19981116
622,692,19981123
623,709,19981130
624,703,19981207
625,703,19981214
626,703,19981221
627,703,19981228
628,703,19990101
629,722,19990104
630,722,19990111
631,722,19990118
632,722,19990125
633,728,19990201
634,723,19990208
635,723,19990215
636,723,19990222
637,723,19990301
638,723,19990308
639,728,19990315
640,728,19990322
641,728,19990329
642,728,19990405
643,728,19990412
644,728,19990419
645,752,19990426
646,761,19990503
647,761,19990510
648,777,19990517
649,777,19990524
650,777,19990531
651,804,19990607
652,804,19990614
653,804,19990621
654,804,19990628
655,804,19990705
656,829,19990712
657,829,19990719
658,829,19990726
659,829,19990802
660,870,19990809
661,873,19990816
662,853,19990823
663,861,19990830
664,861,19990906
665,879,19990913
666,879,19990920
667,899,19990927
668,927,19991004
669,941,19991011
670,964,19991018
671,941,19991025
672,941,19991101
673,941,19991108
674,941,19991115
675,941,19991122
676,966,19991129
677,966,19991206
678,989,19991213
679,989,19991220
680,989,19991227
681,989,20000101
682,989,20000103
683,989,20000110
684,989,20000117
685,989,20000124
686,1013,20000131
687,1038,20000207
688,1038,20000214
689,1038,20000221
690,1038,20000228
691,1065,20000306
692,1065,20000313
693,1065,20000320
694,1065,20000327
695,1065,20000403
696,1093,20000410
697,1093,20000417
698,1093,20000424
699,1122,20000501
700,1122,20000508
701,1106,20000515
702,1106,20000522
703,1106,20000529
704,1106,20000605
705,1160,20000612
706,1160,20000619
707,1188,20000626
708,1188,20000703
709,1204,20000710
710,1205,20000717
711,1212,20000724
712,1276,20000731
713,1276,20000807
714,1224,20000814
715,1224,20000821
716,1224,20000828
717,1224,20000904
718,1241,20000911
719,1265,20000918
720,1231,20000925
721,1223,20001002
722,1232,20001009
723,1253,20001016
724,1245,20001023
725,1247,20001030
726,1173,20001106
727,964,20001113
728,961,20001120
729,961,20001127
730,961,20001204
731,964,20001211
732,964,20001218
733,964,20001225
734,964,20010101
735,964,20010108
736,964,20010115
737,964,20010122
738,977,20010129
739,977,20010205
740,1004,20010212
741,1027,20010219
742,1027,20010226
743,1027,20010305
744,1027,20010312
745,1101,20010319
746,1101,20010326
747,914,20010402
748,930,20010409
749,952,20010416
750,961,20010423
751,988,20010430
752,1011,20010507
753,1011,20010514
754,1029,20010521
755,1067,20010528
756,1067,20010604
757,1094,20010611
758,1094,20010618
759,1073,20010625
760,1073,20010702
761,1113,20010709
762,1135,20010716
763,1149,20010723
764,1149,20010730
765,1175,20010806
766,1175,20010813
767,1175,20010820
768,1201,20010827
769,1201,20010903
770,1228,20010910
771,1231,20010917
772,1263,20010924
773,1287,20011001
774,1267,20011008
775,1288,20011015
776,1291,20011022
777,1312,20011029
778,1312,20011105
779,1412,20011112
780,1412,20011119
781,1437,20011126
782,1437,20011203
783,1437,20011210
784,1430,20011217
785,1430,20011224
786,1430,20011231
787,1430,20020101
788,1430,20020107
789,1430,20020114
790,1430,20020121
791,1430,20020128
792,1422,20020204
793,1422,20020211
794,1422,20020218
795,1424,20020225
796,1424,20020304
797,1424,20020311
798,1448,20020318
799,1448,20020325
800,1573,20020401
801,1574,20020408
802,1574,20020415
803,1574,20020422
804,1577,20020429
805,1730,20020506
806,1577,20020513
807,1577,20020520
808,1577,20020527
809,1577,20020603
810,1783,20020610
811,1803,20020617
812,1783,20020624
813,1783,20020701
814,1834,20020708
815,1835,20020715
816,1828,20020722
817,1853,20020729
818,1853,20020805
819,1925,20020812
820,1915,20020819
821,2111,20020826
822,2111,20020902
823,2451,20020909
824,2457,20020916
825,2462,20020923
826,2496,20020930
827,2526,20021007
828,2520,20021014
829,2505,20021021
830,2505,20021028
831,2498,20021104
832,2497,20021111
833,2497,20021118
834,2497,20021125
835,2497,20021202
836,2497,20021209
837,2497,20021216
838,2497,20021223
839,2497,20021230
840,2497,20030101
841,2497,20030106
842,2497,20030113
843,2497,20030120
844,2497,20030127
845,2517,20030203
846,2507,20030210
847,2490,20030217
848,2528,20030224
849,2549,20030303
850,2549,20030310
851,2571,20030317
852,2571,20030324
853,2614,20030331
854,2587,20030407
855,2587,20030414
856,2608,20030421
857,2719,20030428
858,2652,20030505
859,2671,20030512
860,2728,20030519
861,1860,20030526
862,2728,20030602
863,2753,20030609
864,2753,20030616
865,2731,20030623
866,2731,20030630
867,2730,20030707
868,2755,20030714
869,2759,20030721
870,2777,20030728
871,2732,20030804
872,2734,20030811
873,2755,20030818
874,2801,20030825
875,2801,20030901
876,2798,20030908
877,2847,20030915
878,2862,20030922
879,2930,20030929
880,2961,20031006
881,2966,20031013
882,3035,20031020
883,3020,20031027
884,3038,20031103
885,3052,20031110
886,3065,20031117
887,3092,20031124
888,3120,20031201
889,3190,20031208
890,3211,20031215
891,3211,20031222
892,3214,20031229
