,Operating_system,count(*)
0,"Windows, except NT and 95",1
1,"Windows, Mac, Mobile devices",1
2,"Windows, Mac, Linux and Mobile devices",1
3,"Windows, Mac and Mobile devices",1
4,"Windows, Mac",3
5,"Windows, Linux, Mac OS, Symbian, WindowsMobile",1
6,Windows (2000 onwards),1
7,Windows,3
8,"Unix (Linux, *BSD, Mac OS X, others), Windows",2
9,"Unix (Linux, *BSD, Mac OS X, others)",1
10,Appliance (Linux),1
11,Any system with Java 1.6 VM available,1
12,Any,1
13,"Android, Linux, Mac and Windows devices",1
