,AlbumId,COUNT(*)
0,1,10
1,2,1
2,3,3
3,4,8
4,5,15
5,6,13
6,7,12
7,8,14
8,9,8
9,10,14
10,11,12
11,12,12
12,13,8
13,14,13
14,15,5
15,16,7
16,17,10
17,18,17
18,19,11
19,20,11
20,21,18
21,22,3
22,23,34
23,24,23
24,25,13
25,26,17
26,27,14
27,28,10
28,29,14
29,30,14
30,31,9
31,32,14
32,33,17
33,34,17
34,35,11
35,36,17
36,37,20
37,38,12
38,39,21
39,40,12
40,41,14
41,42,14
42,43,7
43,44,6
44,45,14
45,46,13
46,47,14
47,48,13
48,49,10
49,50,4
50,51,22
51,52,15
52,53,14
53,54,20
54,55,20
55,56,15
56,57,15
57,58,9
58,59,7
59,60,7
60,61,11
61,62,7
62,63,12
63,64,9
64,65,9
65,66,10
66,67,16
67,68,9
68,69,13
69,70,13
70,71,14
71,72,18
72,73,30
73,74,12
74,75,14
75,76,15
76,77,11
77,78,14
78,79,10
79,80,10
80,81,11
81,82,13
82,83,24
83,84,16
84,85,14
85,86,15
86,87,3
87,88,12
88,89,13
89,90,12
90,91,16
91,92,14
92,93,13
93,94,11
94,95,12
95,96,11
96,97,10
97,98,11
98,99,12
99,100,9
100,101,10
101,102,18
102,103,10
103,104,10
104,105,10
105,106,9
106,107,8
107,108,10
108,109,9
109,110,8
110,111,8
111,112,8
112,113,11
113,114,8
114,115,20
115,116,10
116,117,11
117,118,11
118,119,13
119,120,17
120,121,10
121,122,14
122,123,12
123,124,14
124,125,16
125,126,15
126,127,10
127,128,8
128,129,8
129,130,7
130,131,8
131,132,9
132,133,9
133,134,10
134,135,9
135,136,7
136,137,5
137,138,4
138,139,15
139,140,16
140,141,57
141,142,14
142,143,14
143,144,10
144,145,18
145,146,18
146,147,10
147,148,12
148,149,16
149,150,10
150,151,14
151,152,8
152,153,13
153,154,8
154,155,11
155,156,9
156,157,14
157,158,13
158,159,13
159,160,15
160,161,12
161,162,17
162,163,17
163,164,12
164,165,15
165,166,14
166,167,21
167,168,12
168,169,16
169,170,1
170,171,2
171,172,1
172,173,2
173,174,14
174,175,12
175,176,14
176,177,10
177,178,16
178,179,13
179,180,15
180,181,11
181,182,12
182,183,9
183,184,16
184,185,17
185,186,11
186,187,11
187,188,11
188,189,14
189,190,16
190,191,10
191,192,14
192,193,17
193,194,16
194,195,15
195,196,14
196,197,8
197,198,6
198,199,12
199,200,11
200,201,16
201,202,18
202,203,17
203,204,9
204,205,10
205,206,12
206,207,11
207,208,7
208,209,10
209,210,9
210,211,18
211,212,12
212,213,18
213,214,11
214,215,14
215,216,12
216,217,14
217,218,15
218,219,15
219,220,11
220,221,20
221,222,15
222,223,15
223,224,22
224,225,16
225,226,1
226,227,19
227,228,23
228,229,26
229,230,25
230,231,24
231,232,12
232,233,11
233,234,15
234,235,11
235,236,12
236,237,17
237,238,14
238,239,10
239,240,10
240,241,14
241,242,12
242,243,17
243,244,11
244,245,12
245,246,13
246,247,15
247,248,19
248,249,6
249,250,22
250,251,25
251,252,1
252,253,24
253,254,1
254,255,23
255,256,12
256,257,12
257,258,19
258,259,17
259,260,1
260,261,17
261,262,2
262,263,2
263,264,2
264,265,2
265,266,1
266,267,1
267,268,1
268,269,10
269,270,14
270,271,14
271,272,1
272,273,1
273,274,1
274,275,1
275,276,1
276,277,1
277,278,1
278,279,1
279,280,2
280,281,1
281,282,1
282,283,1
283,284,1
284,285,1
285,286,1
286,287,1
287,288,1
288,289,1
289,290,1
290,291,1
291,292,1
292,293,1
293,294,1
294,295,1
295,296,1
296,297,1
297,298,1
298,299,1
299,300,1
300,301,1
301,302,1
302,303,1
303,304,1
304,305,1
305,306,1
306,307,1
307,308,1
308,309,1
309,310,1
310,311,1
311,312,1
312,313,1
313,314,2
314,315,1
315,316,1
316,317,1
317,318,1
318,319,1
319,320,1
320,321,12
321,322,11
322,323,1
323,324,1
324,325,1
325,326,1
326,327,1
327,328,1
328,329,1
329,330,1
330,331,1
331,332,1
332,333,1
333,334,1
334,335,1
335,336,1
336,337,1
337,338,1
338,339,1
339,340,1
340,341,1
341,342,1
342,343,1
343,344,1
344,345,1
345,346,1
346,347,1
