,CID,DNO
0,600.1030000000001,600
1,600.303,600
2,600.601,600
3,50.802,50
4,550.79,550
5,600.101,600
6,600.107,600
7,600.109,600
8,600.113,600
9,600.121,600
10,600.211,600
11,600.227,600
12,600.232,600
13,600.271,600
14,600.315,600
15,600.3330000000001,600
16,600.337,600
17,600.363,600
18,600.415,600
19,600.433,600
20,600.437,600
21,600.445,600
22,600.461,600
23,600.4630000000001,600
24,600.465,600
25,600.509,600
26,600.6569999999999,600
27,600.7869999999999,600
28,500.20300000000003,550
29,500.204,550
30,500.205,550
31,500.20599999999996,550
32,550.62,550
33,550.626,550
34,550.631,550
35,550.661,550
36,550.6709999999999,550
37,550.681,550
38,550.721,550
39,550.75,550
40,520.137,520
41,520.219,520
42,520.325,520
43,520.345,520
44,520.349,520
45,520.3530000000001,520
46,520.401,520
47,520.41,520
48,520.419,520
49,520.4209999999999,520
50,520.432,520
51,520.475,520
52,520.49,520
53,520.605,520
54,520.609,520
55,520.651,520
56,50.102,50
57,50.108999999999995,50
58,50.325,50
59,50.37,50
60,50.381,50
61,50.427,50
62,50.67,50
63,50.821000000000005,50
64,550.111,550
65,550.1709999999999,550
66,550.2909999999999,550
67,550.31,550
68,550.361,550
69,550.413,550
70,550.42,550
71,550.471,550
72,520.2130000000001,520
73,520.435,520
74,520.6030000000001,520
75,50.203,50
