,CID,Instructor
0,600.1030000000001,4230
1,600.303,9826
2,600.601,6191
3,50.802,9011
4,550.79,2881
5,600.101,6112
6,600.107,1193
7,600.109,4230
8,600.113,6112
9,600.121,6112
10,600.211,6112
11,600.227,1121
12,600.232,9826
13,600.271,9172
14,600.315,2192
15,600.3330000000001,1148
16,600.337,8918
17,600.363,7712
18,600.415,2192
19,600.433,1148
20,600.437,8918
21,600.445,7723
22,600.461,8114
23,600.4630000000001,7712
24,600.465,7792
25,600.509,1121
26,600.6569999999999,8423
27,600.7869999999999,1121
28,500.20300000000003,9823
29,500.204,9823
30,500.205,8791
31,500.20599999999996,8791
32,550.62,2738
33,550.626,8102
34,550.631,6182
35,550.661,9823
36,550.6709999999999,8772
37,550.681,6541
38,550.721,8122
39,550.75,9922
40,520.137,8723
41,520.219,9210
42,520.325,6191
43,520.345,1823
44,520.349,9824
45,520.3530000000001,6925
46,520.401,6191
47,520.41,6191
48,520.419,2119
49,520.4209999999999,7231
50,520.432,9514
51,520.475,6330
52,520.49,8722
53,520.605,9379
54,520.609,7134
55,520.651,9514
56,50.102,4432
57,50.108999999999995,6910
58,50.325,4432
59,50.37,6910
60,50.381,8989
61,50.427,4432
62,50.67,4432
63,50.821000000000005,5718
64,550.111,2311
65,550.1709999999999,8772
66,550.2909999999999,6541
67,550.31,8102
68,550.361,2881
69,550.413,1177
70,550.42,2738
71,550.471,8772
72,520.2130000000001,9210
73,520.435,8118
74,520.6030000000001,9210
75,50.203,9011
