,Instructor,DNO
0,4230,600
1,9826,600
2,6191,600
3,9011,50
4,2881,550
5,6112,600
6,1193,600
7,4230,600
8,6112,600
9,6112,600
10,6112,600
11,1121,600
12,9826,600
13,9172,600
14,2192,600
15,1148,600
16,8918,600
17,7712,600
18,2192,600
19,1148,600
20,8918,600
21,7723,600
22,8114,600
23,7712,600
24,7792,600
25,1121,600
26,8423,600
27,1121,600
28,9823,550
29,9823,550
30,8791,550
31,8791,550
32,2738,550
33,8102,550
34,6182,550
35,9823,550
36,8772,550
37,6541,550
38,8122,550
39,9922,550
40,8723,520
41,9210,520
42,6191,520
43,1823,520
44,9824,520
45,6925,520
46,6191,520
47,6191,520
48,2119,520
49,7231,520
50,9514,520
51,6330,520
52,8722,520
53,9379,520
54,7134,520
55,9514,520
56,4432,50
57,6910,50
58,4432,50
59,6910,50
60,8989,50
61,4432,50
62,4432,50
63,5718,50
64,2311,550
65,8772,550
66,6541,550
67,8102,550
68,2881,550
69,1177,550
70,2738,550
71,8772,550
72,9210,520
73,8118,520
74,9210,520
75,9011,50
