,CID,Credits
0,600.1030000000001,1
1,600.303,1
2,600.601,1
3,50.802,1
4,550.79,2
5,600.101,3
6,600.107,3
7,600.109,3
8,600.113,3
9,600.121,3
10,600.211,3
11,600.227,3
12,600.232,3
13,600.271,3
14,600.315,3
15,600.3330000000001,3
16,600.337,3
17,600.363,3
18,600.415,3
19,600.433,3
20,600.437,3
21,600.445,3
22,600.461,3
23,600.4630000000001,3
24,600.465,3
25,600.509,3
26,600.6569999999999,3
27,600.7869999999999,3
28,500.20300000000003,3
29,500.204,3
30,500.205,3
31,500.20599999999996,3
32,550.62,3
33,550.626,3
34,550.631,3
35,550.661,3
36,550.6709999999999,3
37,550.681,3
38,550.721,3
39,550.75,3
40,520.137,3
41,520.219,3
42,520.325,3
43,520.345,3
44,520.349,3
45,520.3530000000001,3
46,520.401,3
47,520.41,3
48,520.419,3
49,520.4209999999999,3
50,520.432,3
51,520.475,3
52,520.49,3
53,520.605,3
54,520.609,3
55,520.651,3
56,50.102,3
57,50.108999999999995,3
58,50.325,3
59,50.37,3
60,50.381,3
61,50.427,3
62,50.67,3
63,50.821000000000005,3
64,550.111,4
65,550.1709999999999,4
66,550.2909999999999,4
67,550.31,4
68,550.361,4
69,550.413,4
70,550.42,4
71,550.471,4
72,520.2130000000001,4
73,520.435,4
74,520.6030000000001,4
75,50.203,4
