,Credits,DNO
0,1,600
1,1,600
2,1,600
3,1,50
4,2,550
5,3,600
6,3,600
7,3,600
8,3,600
9,3,600
10,3,600
11,3,600
12,3,600
13,3,600
14,3,600
15,3,600
16,3,600
17,3,600
18,3,600
19,3,600
20,3,600
21,3,600
22,3,600
23,3,600
24,3,600
25,3,600
26,3,600
27,3,600
28,3,550
29,3,550
30,3,550
31,3,550
32,3,550
33,3,550
34,3,550
35,3,550
36,3,550
37,3,550
38,3,550
39,3,550
40,3,520
41,3,520
42,3,520
43,3,520
44,3,520
45,3,520
46,3,520
47,3,520
48,3,520
49,3,520
50,3,520
51,3,520
52,3,520
53,3,520
54,3,520
55,3,520
56,3,50
57,3,50
58,3,50
59,3,50
60,3,50
61,3,50
62,3,50
63,3,50
64,4,550
65,4,550
66,4,550
67,4,550
68,4,550
69,4,550
70,4,550
71,4,550
72,4,520
73,4,520
74,4,520
75,4,50
