,Credits,Instructor
0,1,4230
1,1,9826
2,1,6191
3,1,9011
4,2,2881
5,3,6112
6,3,1193
7,3,4230
8,3,6112
9,3,6112
10,3,6112
11,3,1121
12,3,9826
13,3,9172
14,3,2192
15,3,1148
16,3,8918
17,3,7712
18,3,2192
19,3,1148
20,3,8918
21,3,7723
22,3,8114
23,3,7712
24,3,7792
25,3,1121
26,3,8423
27,3,1121
28,3,9823
29,3,9823
30,3,8791
31,3,8791
32,3,2738
33,3,8102
34,3,6182
35,3,9823
36,3,8772
37,3,6541
38,3,8122
39,3,9922
40,3,8723
41,3,9210
42,3,6191
43,3,1823
44,3,9824
45,3,6925
46,3,6191
47,3,6191
48,3,2119
49,3,7231
50,3,9514
51,3,6330
52,3,8722
53,3,9379
54,3,7134
55,3,9514
56,3,4432
57,3,6910
58,3,4432
59,3,6910
60,3,8989
61,3,4432
62,3,4432
63,3,5718
64,4,2311
65,4,8772
66,4,6541
67,4,8102
68,4,2881
69,4,1177
70,4,2738
71,4,8772
72,4,9210
73,4,8118
74,4,9210
75,4,9011
